Time [yyyy-MM-dd HH:mm:ss];Water level at (29_A_A_ 2092_072) [m AD];Water level at (29_B_A_ 1601_894) [m AD];Water level at (29_B_B_ 507_799) [m AD];Water level at (29_B_C_A_ 2424_146) [m AD];Water level at (31_A_A_ 546_794) [m AD];Water level at (31_A_A_ 546_794) [m AD];Water level at (31_A_B_A_A_ 1587_395) [m AD];Water level at (31_A_B_A_B_ 1277_246) [m AD];Water level at (31_A_B_B_ 3551_589) [m AD];Water level at (31_B_ 1414_926) [m AD];Water level at (51_A_A_ 3129_118) [m AD]
27-12-99 00:00;16.533;13.489;11.889;5.6276;11.846;11.846;11.327;11.243;10.786;10.794;10.284
27-12-99 01:00;16.838;14.253;13.926;13.144;11.594;11.594;11.223;10.811;10.308;9.8198;9.1758
27-12-99 02:00;17.126;14.811;14.519;13.808;12.344;12.344;11.956;11.494;10.89;10.344;9.5618
27-12-99 03:00;17.32;15.167;14.897;14.244;12.906;12.906;12.517;12.065;11.479;10.923;10.101
27-12-99 04:00;17.459;15.428;15.175;14.573;13.385;13.385;13.014;12.556;11.936;11.374;10.536
27-12-99 05:00;17.564;15.636;15.396;14.834;13.738;13.738;13.39;12.962;12.317;11.73;10.903
27-12-99 06:00;17.649;15.8;15.57;15.037;14.005;14.005;13.671;13.264;12.623;12.018;11.209
27-12-99 07:00;17.72;15.927;15.703;15.192;14.206;14.206;13.881;13.488;12.855;12.256;11.463
27-12-99 08:00;17.779;16.028;15.807;15.311;14.361;14.361;14.042;13.662;13.041;12.453;11.682
27-12-99 09:00;17.828;16.11;15.89;15.405;14.483;14.483;14.17;13.802;13.192;12.616;11.865
27-12-99 10:00;17.868;16.176;15.958;15.482;14.582;14.582;14.274;13.917;13.315;12.75;12.019
27-12-99 11:00;17.901;16.232;16.016;15.55;14.667;14.667;14.362;14.013;13.419;12.864;12.149
27-12-99 12:00;17.929;16.282;16.068;15.612;14.744;14.744;14.441;14.099;13.51;12.964;12.263
27-12-99 13:00;17.953;16.325;16.114;15.666;14.812;14.812;14.512;14.175;13.592;13.054;12.365
27-12-99 14:00;17.973;16.362;16.153;15.713;14.872;14.872;14.574;14.243;13.665;13.135;12.457
27-12-99 15:00;17.991;16.394;16.186;15.753;14.924;14.924;14.627;14.301;13.729;13.206;12.539
27-12-99 16:00;18.007;16.423;16.216;15.789;14.971;14.971;14.676;14.353;13.786;13.27;12.612
27-12-99 17:00;18.02;16.447;16.242;15.821;15.013;15.013;14.719;14.399;13.836;13.326;12.677
27-12-99 18:00;18.032;16.469;16.265;15.849;15.05;15.05;14.757;14.44;13.881;13.376;12.736
27-12-99 19:00;18.043;16.489;16.285;15.873;15.083;15.083;14.791;14.477;13.92;13.422;12.789
27-12-99 20:00;18.052;16.506;16.303;15.896;15.113;15.113;14.822;14.51;13.957;13.463;12.836
27-12-99 21:00;18.061;16.522;16.32;15.916;15.139;15.139;14.85;14.54;13.99;13.5;12.881
27-12-99 22:00;18.068;16.536;16.334;15.934;15.164;15.164;14.876;14.568;14.021;13.535;12.922
27-12-99 23:00;18.075;16.548;16.348;15.951;15.186;15.186;14.899;14.594;14.049;13.568;12.96
28-12-99 00:00;18.081;16.56;16.36;15.966;15.206;15.206;14.921;14.617;14.075;13.598;12.995
28-12-99 01:00;18.087;16.571;16.371;15.98;15.225;15.225;14.94;14.638;14.099;13.625;13.027
28-12-99 02:00;18.092;16.58;16.382;15.993;15.242;15.242;14.958;14.658;14.121;13.65;13.057
28-12-99 03:00;18.097;16.589;16.391;16.004;15.258;15.258;14.975;14.676;14.141;13.674;13.084
28-12-99 04:00;18.101;16.597;16.4;16.015;15.272;15.272;14.99;14.693;14.16;13.695;13.109
28-12-99 05:00;18.105;16.605;16.408;16.025;15.285;15.285;15.004;14.708;14.177;13.715;13.133
28-12-99 06:00;18.109;16.612;16.415;16.034;15.298;15.298;15.017;14.722;14.193;13.733;13.154
28-12-99 07:00;18.113;16.618;16.422;16.042;15.309;15.309;15.029;14.735;14.208;13.75;13.174
28-12-99 08:00;18.116;16.624;16.428;16.05;15.319;15.319;15.041;14.747;14.222;13.766;13.192
28-12-99 09:00;18.119;16.629;16.434;16.057;15.329;15.329;15.051;14.758;14.234;13.78;13.209
28-12-99 10:00;18.121;16.634;16.439;16.064;15.338;15.338;15.06;14.769;14.246;13.794;13.225
28-12-99 11:00;18.124;16.639;16.444;16.07;15.346;15.346;15.069;14.778;14.257;13.806;13.239
28-12-99 12:00;18.126;16.643;16.449;16.076;15.354;15.354;15.077;14.787;14.267;13.817;13.253
28-12-99 13:00;18.128;16.647;16.453;16.081;15.361;15.361;15.084;14.795;14.276;13.828;13.265
28-12-99 14:00;18.13;16.651;16.457;16.086;15.367;15.367;15.091;14.803;14.285;13.838;13.277
28-12-99 15:00;18.132;16.654;16.46;16.09;15.373;15.373;15.098;14.81;14.293;13.847;13.288
28-12-99 16:00;18.134;16.658;16.464;16.094;15.379;15.379;15.104;14.816;14.3;13.856;13.298
28-12-99 17:00;18.136;16.661;16.467;16.098;15.384;15.384;15.11;14.823;14.307;13.864;13.307
28-12-99 18:00;18.137;16.663;16.47;16.102;15.389;15.389;15.115;14.828;14.314;13.872;13.316
28-12-99 19:00;18.138;16.666;16.473;16.105;15.393;15.393;15.12;14.834;14.32;13.879;13.324
28-12-99 20:00;18.14;16.668;16.475;16.108;15.398;15.398;15.124;14.839;14.326;13.885;13.332
28-12-99 21:00;18.141;16.671;16.477;16.111;15.402;15.402;15.128;14.843;14.331;13.891;13.339
28-12-99 22:00;18.142;16.673;16.48;16.114;15.405;15.405;15.132;14.848;14.336;13.897;13.346
28-12-99 23:00;18.143;16.675;16.482;16.117;15.409;15.409;15.136;14.852;14.341;13.903;13.353
29-12-99 00:00;18.144;16.676;16.484;16.119;15.412;15.412;15.14;14.856;14.345;13.908;13.359
29-12-99 01:00;18.145;16.678;16.485;16.121;15.415;15.415;15.143;14.859;14.349;13.913;13.364
29-12-99 02:00;18.146;16.68;16.487;16.123;15.418;15.418;15.146;14.863;14.353;13.917;13.37
29-12-99 03:00;18.147;16.681;16.489;16.125;15.421;15.421;15.149;14.866;14.357;13.921;13.375
29-12-99 04:00;18.147;16.683;16.49;16.127;15.423;15.423;15.152;14.869;14.36;13.925;13.379
29-12-99 05:00;18.148;16.684;16.492;16.129;15.426;15.426;15.154;14.871;14.364;13.929;13.384
29-12-99 06:00;18.149;16.685;16.493;16.131;15.428;15.428;15.156;14.874;14.367;13.933;13.388
29-12-99 07:00;18.149;16.686;16.494;16.132;15.43;15.43;15.159;14.877;14.37;13.936;13.392
29-12-99 08:00;18.15;16.687;16.495;16.134;15.432;15.432;15.161;14.879;14.372;13.939;13.396
29-12-99 09:00;18.151;16.688;16.496;16.135;15.434;15.434;15.163;14.881;14.375;13.942;13.399
29-12-99 10:00;18.151;16.689;16.498;16.136;15.435;15.435;15.165;14.883;14.377;13.945;13.403
29-12-99 11:00;18.152;16.69;16.499;16.137;15.437;15.437;15.167;14.885;14.38;13.948;13.406
29-12-99 12:00;18.152;16.691;16.499;16.139;15.439;15.439;15.168;14.887;14.382;13.95;13.409
29-12-99 13:00;18.152;16.692;16.5;16.14;15.44;15.44;15.17;14.889;14.384;13.953;13.412
29-12-99 14:00;18.153;16.693;16.501;16.141;15.442;15.442;15.171;14.891;14.386;13.955;13.414
29-12-99 15:00;18.153;16.693;16.502;16.142;15.443;15.443;15.173;14.892;14.388;13.957;13.417
29-12-99 16:00;18.154;16.694;16.503;16.143;15.444;15.444;15.174;14.894;14.389;13.959;13.419
29-12-99 17:00;18.154;16.695;16.503;16.143;15.445;15.445;15.175;14.895;14.391;13.961;13.422
29-12-99 18:00;18.154;16.695;16.504;16.144;15.446;15.446;15.177;14.896;14.393;13.963;13.424
29-12-99 19:00;18.155;16.696;16.505;16.145;15.447;15.447;15.178;14.898;14.394;13.965;13.426
29-12-99 20:00;18.155;16.696;16.505;16.146;15.448;15.448;15.179;14.899;14.396;13.966;13.428
29-12-99 21:00;18.155;16.697;16.506;16.146;15.449;15.449;15.18;14.9;14.397;13.968;13.429
29-12-99 22:00;18.155;16.698;16.506;16.147;15.45;15.45;15.181;14.901;14.398;13.969;13.431
29-12-99 23:00;18.156;16.698;16.507;16.148;15.451;15.451;15.182;14.902;14.399;13.971;13.433
30-12-99 00:00;18.156;16.698;16.507;16.148;15.452;15.452;15.183;14.903;14.4;13.972;13.434
30-12-99 01:00;18.156;16.699;16.508;16.149;15.453;15.453;15.183;14.904;14.402;13.973;13.436
30-12-99 02:00;18.156;16.699;16.508;16.149;15.453;15.453;15.184;14.905;14.403;13.974;13.437
30-12-99 03:00;18.157;16.7;16.508;16.15;15.454;15.454;15.185;14.906;14.404;13.976;13.439
30-12-99 04:00;18.157;16.7;16.509;16.15;15.455;15.455;15.186;14.906;14.404;13.977;13.44
30-12-99 05:00;18.157;16.7;16.509;16.151;15.455;15.455;15.186;14.907;14.405;13.978;13.441
30-12-99 06:00;18.157;16.701;16.51;16.151;15.456;15.456;15.187;14.908;14.406;13.979;13.442
30-12-99 07:00;18.157;16.701;16.51;16.152;15.456;15.456;15.188;14.908;14.407;13.979;13.443
30-12-99 08:00;18.157;16.701;16.51;16.152;15.457;15.457;15.188;14.909;14.408;13.98;13.444
30-12-99 09:00;18.158;16.701;16.51;16.152;15.458;15.458;15.189;14.91;14.408;13.981;13.445
30-12-99 10:00;18.158;16.702;16.511;16.153;15.458;15.458;15.189;14.91;14.409;13.982;13.446
30-12-99 11:00;18.158;16.702;16.511;16.153;15.458;15.458;15.19;14.911;14.41;13.983;13.447
30-12-99 12:00;18.158;16.702;16.511;16.153;15.459;15.459;15.19;14.911;14.41;13.983;13.448
30-12-99 13:00;18.158;16.702;16.512;16.154;15.459;15.459;15.191;14.912;14.411;13.984;13.449
30-12-99 14:00;18.158;16.703;16.512;16.154;15.46;15.46;15.191;14.912;14.411;13.984;13.449
30-12-99 15:00;18.158;16.703;16.512;16.154;15.46;15.46;15.191;14.912;14.412;13.985;13.45
30-12-99 16:00;18.158;16.703;16.512;16.154;15.46;15.46;15.192;14.913;14.412;13.985;13.45
30-12-99 17:00;18.158;16.703;16.512;16.155;15.46;15.46;15.192;14.913;14.412;13.986;13.451
30-12-99 18:00;18.159;16.703;16.512;16.155;15.461;15.461;15.192;14.914;14.413;13.986;13.452
30-12-99 19:00;18.159;16.703;16.513;16.155;15.461;15.461;15.192;14.914;14.413;13.987;13.452
30-12-99 20:00;18.159;16.704;16.513;16.155;15.461;15.461;15.193;14.914;14.414;13.987;13.453
30-12-99 21:00;18.159;16.704;16.513;16.155;15.462;15.462;15.193;14.915;14.414;13.988;13.453
30-12-99 22:00;18.159;16.704;16.513;16.156;15.462;15.462;15.193;14.915;14.414;13.988;13.454
30-12-99 23:00;18.159;16.704;16.513;16.156;15.462;15.462;15.194;14.915;14.415;13.989;13.454
31-12-99 00:00;18.159;16.704;16.513;16.156;15.462;15.462;15.194;14.915;14.415;13.989;13.455
31-12-99 01:00;18.159;16.704;16.513;16.156;15.463;15.463;15.194;14.916;14.416;13.989;13.455
31-12-99 02:00;18.159;16.704;16.514;16.156;15.463;15.463;15.194;14.916;14.416;13.99;13.456
31-12-99 03:00;18.159;16.704;16.514;16.156;15.463;15.463;15.195;14.916;14.416;13.99;13.456
31-12-99 04:00;18.159;16.705;16.514;16.156;15.463;15.463;15.195;14.916;14.416;13.99;13.457
31-12-99 05:00;18.159;16.705;16.514;16.157;15.463;15.463;15.195;14.917;14.417;13.991;13.457
31-12-99 06:00;18.159;16.705;16.514;16.157;15.464;15.464;15.195;14.917;14.417;13.991;13.457
31-12-99 07:00;18.159;16.705;16.514;16.157;15.464;15.464;15.195;14.917;14.417;13.991;13.458
31-12-99 08:00;18.159;16.705;16.514;16.157;15.464;15.464;15.196;14.917;14.417;13.992;13.458
31-12-99 09:00;18.159;16.705;16.514;16.157;15.464;15.464;15.196;14.917;14.418;13.992;13.458
31-12-99 10:00;18.16;16.705;16.514;16.157;15.464;15.464;15.196;14.918;14.418;13.992;13.458
31-12-99 11:00;18.16;16.705;16.514;16.157;15.464;15.464;15.196;14.918;14.418;13.992;13.459
31-12-99 12:00;18.16;16.705;16.515;16.157;15.464;15.464;15.196;14.918;14.418;13.993;13.459
31-12-99 13:00;18.16;16.705;16.515;16.157;15.465;15.465;15.196;14.918;14.418;13.993;13.459
31-12-99 14:00;18.16;16.705;16.515;16.158;15.465;15.465;15.196;14.918;14.418;13.993;13.459
31-12-99 15:00;18.16;16.705;16.515;16.158;15.465;15.465;15.196;14.918;14.419;13.993;13.46
31-12-99 16:00;18.16;16.705;16.515;16.158;15.465;15.465;15.197;14.918;14.419;13.993;13.46
31-12-99 17:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.419;13.993;13.46
31-12-99 18:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.419;13.994;13.46
31-12-99 19:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.419;13.994;13.46
31-12-99 20:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.419;13.994;13.461
31-12-99 21:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.419;13.994;13.461
31-12-99 22:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.419;13.994;13.461
31-12-99 23:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.42;13.994;13.461
01-01-00 00:00;18.16;16.706;16.515;16.158;15.465;15.465;15.197;14.919;14.42;13.994;13.461
01-01-00 01:00;18.158;16.706;16.515;16.158;15.466;15.466;15.197;14.919;14.42;13.994;13.461
01-01-00 02:00;18.156;16.705;16.514;16.158;15.465;15.465;15.197;14.919;14.42;13.995;13.462
01-01-00 03:00;18.152;16.703;16.513;16.157;15.465;15.465;15.197;14.919;14.42;13.995;13.462
01-01-00 04:00;18.148;16.701;16.511;16.155;15.463;15.463;15.196;14.918;14.419;13.994;13.462
01-01-00 05:00;18.143;16.698;16.509;16.153;15.462;15.462;15.194;14.917;14.419;13.994;13.461
01-01-00 06:00;18.139;16.695;16.506;16.15;15.459;15.459;15.192;14.915;14.417;13.993;13.461
01-01-00 07:00;18.134;16.692;16.503;16.147;15.456;15.456;15.19;14.913;14.416;13.991;13.46
01-01-00 08:00;18.128;16.688;16.499;16.143;15.453;15.453;15.187;14.911;14.414;13.99;13.458
01-01-00 09:00;18.123;16.684;16.495;16.14;15.45;15.45;15.184;14.908;14.412;13.988;13.457
01-01-00 10:00;18.118;16.68;16.491;16.136;15.446;15.446;15.18;14.905;14.409;13.985;13.455
01-01-00 11:00;18.112;16.675;16.487;16.131;15.442;15.442;15.177;14.901;14.406;13.983;13.453
01-01-00 12:00;18.106;16.671;16.483;16.127;15.437;15.437;15.173;14.898;14.403;13.98;13.45
01-01-00 13:00;18.1;16.666;16.478;16.122;15.433;15.433;15.168;14.894;14.4;13.977;13.447
01-01-00 14:00;18.095;16.661;16.474;16.117;15.428;15.428;15.164;14.89;14.396;13.973;13.444
01-01-00 15:00;18.089;16.656;16.469;16.112;15.423;15.423;15.159;14.885;14.393;13.97;13.441
01-01-00 16:00;18.083;16.651;16.464;16.107;15.418;15.418;15.154;14.881;14.389;13.966;13.438
01-01-00 17:00;18.076;16.646;16.459;16.102;15.413;15.413;15.15;14.876;14.385;13.962;13.434
01-01-00 18:00;18.07;16.64;16.454;16.097;15.407;15.407;15.145;14.872;14.381;13.958;13.431
01-01-00 19:00;18.064;16.635;16.449;16.091;15.402;15.402;15.139;14.867;14.376;13.954;13.427
01-01-00 20:00;18.058;16.629;16.444;16.086;15.396;15.396;15.134;14.862;14.372;13.95;13.423
01-01-00 21:00;18.052;16.624;16.438;16.08;15.39;15.39;15.129;14.857;14.367;13.945;13.419
01-01-00 22:00;18.045;16.618;16.433;16.075;15.385;15.385;15.123;14.852;14.363;13.941;13.415
01-01-00 23:00;18.039;16.613;16.428;16.069;15.379;15.379;15.118;14.846;14.358;13.936;13.41
02-01-00 00:00;18.033;16.607;16.422;16.063;15.373;15.373;15.112;14.841;14.353;13.931;13.406
02-01-00 01:00;18.031;16.602;16.417;16.058;15.367;15.367;15.106;14.836;14.348;13.926;13.401
02-01-00 02:00;18.032;16.599;16.414;16.053;15.361;15.361;15.101;14.83;14.343;13.922;13.397
02-01-00 03:00;18.035;16.598;16.412;16.051;15.357;15.357;15.097;14.826;14.339;13.917;13.392
02-01-00 04:00;18.04;16.598;16.412;16.05;15.355;15.355;15.094;14.823;14.335;13.913;13.388
02-01-00 05:00;18.046;16.6;16.413;16.05;15.354;15.354;15.093;14.821;14.333;13.911;13.385
02-01-00 06:00;18.052;16.603;16.415;16.052;15.354;15.354;15.093;14.82;14.332;13.909;13.383
02-01-00 07:00;18.059;16.607;16.419;16.055;15.356;15.356;15.094;14.821;14.331;13.908;13.381
02-01-00 08:00;18.067;16.612;16.423;16.058;15.359;15.359;15.096;14.822;14.332;13.908;13.381
02-01-00 09:00;18.075;16.617;16.428;16.063;15.363;15.363;15.099;14.825;14.333;13.909;13.381
02-01-00 10:00;18.083;16.623;16.433;16.068;15.367;15.367;15.103;14.828;14.336;13.911;13.382
02-01-00 11:00;18.092;16.63;16.439;16.074;15.373;15.373;15.108;14.832;14.339;13.913;13.384
02-01-00 12:00;18.101;16.637;16.446;16.081;15.379;15.379;15.113;14.837;14.342;13.916;13.386
02-01-00 13:00;18.111;16.644;16.453;16.088;15.385;15.385;15.119;14.842;14.347;13.92;13.389
02-01-00 14:00;18.12;16.652;16.46;16.095;15.392;15.392;15.126;14.848;14.351;13.925;13.393
02-01-00 15:00;18.13;16.66;16.468;16.103;15.4;15.4;15.132;14.855;14.357;13.93;13.397
02-01-00 16:00;18.14;16.668;16.476;16.111;15.408;15.408;15.14;14.861;14.362;13.935;13.402
02-01-00 17:00;18.15;16.677;16.484;16.119;15.416;15.416;15.148;14.868;14.368;13.941;13.407
02-01-00 18:00;18.16;16.686;16.492;16.128;15.425;15.425;15.156;14.876;14.375;13.947;13.413
02-01-00 19:00;18.17;16.695;16.501;16.137;15.434;15.434;15.164;14.884;14.382;13.954;13.418
02-01-00 20:00;18.181;16.704;16.51;16.146;15.443;15.443;15.173;14.892;14.389;13.961;13.425
02-01-00 21:00;18.191;16.714;16.519;16.155;15.453;15.453;15.182;14.9;14.396;13.968;13.431
02-01-00 22:00;18.202;16.723;16.528;16.165;15.463;15.463;15.191;14.909;14.404;13.975;13.438
02-01-00 23:00;18.213;16.733;16.537;16.174;15.473;15.473;15.2;14.918;14.412;13.983;13.446
03-01-00 00:00;18.224;16.742;16.547;16.184;15.483;15.483;15.21;14.927;14.42;13.991;13.453
03-01-00 01:00;18.229;16.752;16.556;16.194;15.493;15.493;15.219;14.936;14.428;13.999;13.461
03-01-00 02:00;18.23;16.758;16.562;16.202;15.502;15.502;15.228;14.945;14.437;14.007;13.469
03-01-00 03:00;18.229;16.762;16.567;16.208;15.51;15.51;15.236;14.953;14.444;14.015;13.477
03-01-00 04:00;18.226;16.764;16.57;16.212;15.516;15.516;15.242;14.959;14.451;14.022;13.484
03-01-00 05:00;18.222;16.764;16.571;16.214;15.52;15.52;15.247;14.964;14.456;14.028;13.49
03-01-00 06:00;18.217;16.763;16.57;16.215;15.522;15.522;15.25;14.967;14.46;14.033;13.495
03-01-00 07:00;18.211;16.761;16.569;16.214;15.523;15.523;15.251;14.969;14.463;14.036;13.499
03-01-00 08:00;18.205;16.758;16.566;16.212;15.522;15.522;15.251;14.97;14.465;14.039;13.502
03-01-00 09:00;18.197;16.754;16.562;16.21;15.521;15.521;15.25;14.97;14.466;14.04;13.504
03-01-00 10:00;18.19;16.749;16.558;16.206;15.518;15.518;15.248;14.968;14.465;14.04;13.505
03-01-00 11:00;18.181;16.743;16.553;16.201;15.514;15.514;15.245;14.966;14.464;14.04;13.506
03-01-00 12:00;18.173;16.737;16.547;16.196;15.51;15.51;15.241;14.963;14.462;14.038;13.505
03-01-00 13:00;18.164;16.73;16.541;16.19;15.504;15.504;15.237;14.959;14.46;14.036;13.504
03-01-00 14:00;18.155;16.723;16.535;16.184;15.499;15.499;15.231;14.955;14.456;14.033;13.502
03-01-00 15:00;18.146;16.716;16.528;16.177;15.492;15.492;15.226;14.949;14.452;14.03;13.499
03-01-00 16:00;18.136;16.708;16.521;16.169;15.485;15.485;15.219;14.944;14.448;14.026;13.496
03-01-00 17:00;18.127;16.7;16.513;16.162;15.478;15.478;15.212;14.938;14.443;14.021;13.492
03-01-00 18:00;18.117;16.692;16.506;16.154;15.47;15.47;15.205;14.931;14.437;14.016;13.488
03-01-00 19:00;18.107;16.684;16.497;16.145;15.462;15.462;15.198;14.924;14.431;14.011;13.483
03-01-00 20:00;18.097;16.675;16.489;16.137;15.453;15.453;15.19;14.917;14.425;14.005;13.478
03-01-00 21:00;18.087;16.666;16.481;16.128;15.444;15.444;15.182;14.909;14.419;13.998;13.472
03-01-00 22:00;18.076;16.657;16.472;16.119;15.435;15.435;15.173;14.901;14.412;13.992;13.466
03-01-00 23:00;18.066;16.648;16.463;16.11;15.426;15.426;15.164;14.893;14.404;13.985;13.46
04-01-00 00:00;18.055;16.638;16.454;16.1;15.416;15.416;15.155;14.885;14.397;13.977;13.453
04-01-00 01:00;18.047;16.629;16.445;16.091;15.406;15.406;15.146;14.876;14.389;13.97;13.446
04-01-00 02:00;18.042;16.621;16.437;16.082;15.397;15.397;15.137;14.867;14.381;13.962;13.439
04-01-00 03:00;18.037;16.614;16.43;16.074;15.388;15.388;15.128;14.859;14.373;13.954;13.432
04-01-00 04:00;18.033;16.609;16.424;16.067;15.38;15.38;15.121;14.851;14.366;13.947;13.425
04-01-00 05:00;18.03;16.603;16.419;16.061;15.373;15.373;15.114;14.844;14.359;13.94;13.418
04-01-00 06:00;18.027;16.599;16.415;16.056;15.367;15.367;15.107;14.838;14.353;13.934;13.411
04-01-00 07:00;18.025;16.595;16.41;16.051;15.361;15.361;15.102;14.832;14.347;13.928;13.405
04-01-00 08:00;18.022;16.592;16.407;16.047;15.356;15.356;15.096;14.827;14.342;13.922;13.4
04-01-00 09:00;18.021;16.588;16.404;16.043;15.351;15.351;15.092;14.822;14.337;13.917;13.395
04-01-00 10:00;18.019;16.586;16.401;16.04;15.347;15.347;15.088;14.818;14.333;13.912;13.39
04-01-00 11:00;18.017;16.583;16.398;16.037;15.343;15.343;15.084;14.814;14.329;13.908;13.385
04-01-00 12:00;18.016;16.581;16.396;16.034;15.34;15.34;15.08;14.81;14.325;13.904;13.381
04-01-00 13:00;18.015;16.579;16.394;16.032;15.337;15.337;15.077;14.807;14.322;13.9;13.377
