Time [yyyy-MM-dd HH:mm:ss],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s]
1999-12-29 00:00:00,457_73,457_73
1999-12-29 01:00:00,201_96,201_96
1999-12-29 02:00:00,382_86,382_86
1999-12-29 03:00:00,396_3,396_3
1999-12-29 04:00:00,424_58,424_58
1999-12-29 05:00:00,452_24,452_24
1999-12-29 06:00:00,476_73,476_73
1999-12-29 07:00:00,497_4,497_4
1999-12-29 08:00:00,514_66,514_66
1999-12-29 09:00:00,529_05,529_05
1999-12-29 10:00:00,541_09,541_09
1999-12-29 11:00:00,551_05,551_05
1999-12-29 12:00:00,559_3,559_3
1999-12-29 13:00:00,566_29,566_29
1999-12-29 14:00:00,572_28,572_28
1999-12-29 15:00:00,577_49,577_49
1999-12-29 16:00:00,582_01,582_01
1999-12-29 17:00:00,585_94,585_94
1999-12-29 18:00:00,589_37,589_37
1999-12-29 19:00:00,592_36,592_36
1999-12-29 20:00:00,594_96,594_96
1999-12-29 21:00:00,597_23,597_23
1999-12-29 22:00:00,599_22,599_22
1999-12-29 23:00:00,600_97,600_97
1999-12-30 00:00:00,602_5,602_5
1999-12-30 01:00:00,603_84,603_84
1999-12-30 02:00:00,605_02,605_02
1999-12-30 03:00:00,606_04,606_04
1999-12-30 04:00:00,606_94,606_94
1999-12-30 05:00:00,607_71,607_71
1999-12-30 06:00:00,608_39,608_39
1999-12-30 07:00:00,608_97,608_97
1999-12-30 08:00:00,609_48,609_48
1999-12-30 09:00:00,609_93,609_93
1999-12-30 10:00:00,610_31,610_31
1999-12-30 11:00:00,610_64,610_64
1999-12-30 12:00:00,610_92,610_92
1999-12-30 13:00:00,611_16,611_16
1999-12-30 14:00:00,611_36,611_36
1999-12-30 15:00:00,611_52,611_52
1999-12-30 16:00:00,611_66,611_66
1999-12-30 17:00:00,611_77,611_77
1999-12-30 18:00:00,611_85,611_85
1999-12-30 19:00:00,611_9,611_9
1999-12-30 20:00:00,611_94,611_94
1999-12-30 21:00:00,611_96,611_96
1999-12-30 22:00:00,611_97,611_97
1999-12-30 23:00:00,611_97,611_97
1999-12-31 00:00:00,611_96,611_96
1999-12-31 01:00:00,611_94,611_94
1999-12-31 02:00:00,611_91,611_91
1999-12-31 03:00:00,611_87,611_87
1999-12-31 04:00:00,611_83,611_83
1999-12-31 05:00:00,611_78,611_78
1999-12-31 06:00:00,611_72,611_72
1999-12-31 07:00:00,611_66,611_66
1999-12-31 08:00:00,611_6,611_6
1999-12-31 09:00:00,611_53,611_53
1999-12-31 10:00:00,611_45,611_45
1999-12-31 11:00:00,611_38,611_38
1999-12-31 12:00:00,611_3,611_3
1999-12-31 13:00:00,611_22,611_22
1999-12-31 14:00:00,611_14,611_14
1999-12-31 15:00:00,611_06,611_06
1999-12-31 16:00:00,610_98,610_98
1999-12-31 17:00:00,610_9,610_9
1999-12-31 18:00:00,610_82,610_82
1999-12-31 19:00:00,610_74,610_74
1999-12-31 20:00:00,610_66,610_66
1999-12-31 21:00:00,610_58,610_58
1999-12-31 22:00:00,610_51,610_51
1999-12-31 23:00:00,610_43,610_43
2000-01-01 00:00:00,610_35,610_35
2000-01-01 01:00:00,610_31,610_31
2000-01-01 02:00:00,610_44,610_44
2000-01-01 03:00:00,610_72,610_72
2000-01-01 04:00:00,611_1,611_1
2000-01-01 05:00:00,611_56,611_56
2000-01-01 06:00:00,612_06,612_06
2000-01-01 07:00:00,612_6,612_6
2000-01-01 08:00:00,613_17,613_17
2000-01-01 09:00:00,613_77,613_77
2000-01-01 10:00:00,614_38,614_38
2000-01-01 11:00:00,615_02,615_02
2000-01-01 12:00:00,615_66,615_66
2000-01-01 13:00:00,616_32,616_32
2000-01-01 14:00:00,616_98,616_98
2000-01-01 15:00:00,617_65,617_65
2000-01-01 16:00:00,618_33,618_33
2000-01-01 17:00:00,619_02,619_02
2000-01-01 18:00:00,619_71,619_71
2000-01-01 19:00:00,620_41,620_41
2000-01-01 20:00:00,621_11,621_11
2000-01-01 21:00:00,621_81,621_81
2000-01-01 22:00:00,622_51,622_51
2000-01-01 23:00:00,623_22,623_22
2000-01-02 00:00:00,623_92,623_92
2000-01-02 01:00:00,624_54,624_54
2000-01-02 02:00:00,624_72,624_72
2000-01-02 03:00:00,624_49,624_49
2000-01-02 04:00:00,623_99,623_99
2000-01-02 05:00:00,623_3,623_3
2000-01-02 06:00:00,622_48,622_48
2000-01-02 07:00:00,621_55,621_55
2000-01-02 08:00:00,620_54,620_54
2000-01-02 09:00:00,619_46,619_46
2000-01-02 10:00:00,618_33,618_33
2000-01-02 11:00:00,617_15,617_15
2000-01-02 12:00:00,615_94,615_94
2000-01-02 13:00:00,614_7,614_7
2000-01-02 14:00:00,613_43,613_43
2000-01-02 15:00:00,612_15,612_15
2000-01-02 16:00:00,610_85,610_85
2000-01-02 17:00:00,609_53,609_53
2000-01-02 18:00:00,608_2,608_2
2000-01-02 19:00:00,606_84,606_84
2000-01-02 20:00:00,605_45,605_45
2000-01-02 21:00:00,604_05,604_05
2000-01-02 22:00:00,602_62,602_62
2000-01-02 23:00:00,601_17,601_17
2000-01-03 00:00:00,599_72,599_72
2000-01-03 01:00:00,598_3,598_3
2000-01-03 02:00:00,597_08,597_08
2000-01-03 03:00:00,596_05,596_05
2000-01-03 04:00:00,595_15,595_15
2000-01-03 05:00:00,594_32,594_32
2000-01-03 06:00:00,593_54,593_54
2000-01-03 07:00:00,592_81,592_81
2000-01-03 08:00:00,592_11,592_11
2000-01-03 09:00:00,591_43,591_43
2000-01-03 10:00:00,590_78,590_78
2000-01-03 11:00:00,590_14,590_14
2000-01-03 12:00:00,589_51,589_51
2000-01-03 13:00:00,588_9,588_9
2000-01-03 14:00:00,588_3,588_3
2000-01-03 15:00:00,587_7,587_7
2000-01-03 16:00:00,587_11,587_11
2000-01-03 17:00:00,586_53,586_53
2000-01-03 18:00:00,585_95,585_95
2000-01-03 19:00:00,585_37,585_37
2000-01-03 20:00:00,584_8,584_8
2000-01-03 21:00:00,584_22,584_22
2000-01-03 22:00:00,583_64,583_64
2000-01-03 23:00:00,583_06,583_06
2000-01-04 00:00:00,582_48,582_48
2000-01-04 01:00:00,582_02,582_02
2000-01-04 02:00:00,582_13,582_13
2000-01-04 03:00:00,582_76,582_76
2000-01-04 04:00:00,583_73,583_73
2000-01-04 05:00:00,584_93,584_93
2000-01-04 06:00:00,586_29,586_29
2000-01-04 07:00:00,587_77,587_77
2000-01-04 08:00:00,589_34,589_34
2000-01-04 09:00:00,590_99,590_99
2000-01-04 10:00:00,592_68,592_68
2000-01-04 11:00:00,594_42,594_42
2000-01-04 12:00:00,596_19,596_19
2000-01-04 13:00:00,597_98,597_98
2000-01-04 14:00:00,599_8,599_8
2000-01-04 15:00:00,601_63,601_63
2000-01-04 16:00:00,603_48,603_48
2000-01-04 17:00:00,605_34,605_34
2000-01-04 18:00:00,607_19,607_19
2000-01-04 19:00:00,609_05,609_05
2000-01-04 20:00:00,610_9,610_9
2000-01-04 21:00:00,612_75,612_75
2000-01-04 22:00:00,614_6,614_6
2000-01-04 23:00:00,616_44,616_44
2000-01-05 00:00:00,618_28,618_28
2000-01-05 01:00:00,620_04,620_04
2000-01-05 02:00:00,621_47,621_47
2000-01-05 03:00:00,622_6,622_6
2000-01-05 04:00:00,623_52,623_52
2000-01-05 05:00:00,624_3,624_3
2000-01-05 06:00:00,624_97,624_97
2000-01-05 07:00:00,625_56,625_56
2000-01-05 08:00:00,626_08,626_08
2000-01-05 09:00:00,626_55,626_55
2000-01-05 10:00:00,626_98,626_98
2000-01-05 11:00:00,627_38,627_38
2000-01-05 12:00:00,627_76,627_76
2000-01-05 13:00:00,628_12,628_12
2000-01-05 14:00:00,628_47,628_47
2000-01-05 15:00:00,628_8,628_8
2000-01-05 16:00:00,629_12,629_12
2000-01-05 17:00:00,629_44,629_44
2000-01-05 18:00:00,629_75,629_75
2000-01-05 19:00:00,630_05,630_05
2000-01-05 20:00:00,630_36,630_36
2000-01-05 21:00:00,630_66,630_66
2000-01-05 22:00:00,630_97,630_97
2000-01-05 23:00:00,631_27,631_27
2000-01-06 00:00:00,631_57,631_57
2000-01-06 01:00:00,631_96,631_96
2000-01-06 02:00:00,632_74,632_74
2000-01-06 03:00:00,633_94,633_94
2000-01-06 04:00:00,635_4,635_4
2000-01-06 05:00:00,637_05,637_05
2000-01-06 06:00:00,638_84,638_84
2000-01-06 07:00:00,640_72,640_72
2000-01-06 08:00:00,642_68,642_68
2000-01-06 09:00:00,644_69,644_69
2000-01-06 10:00:00,646_74,646_74
2000-01-06 11:00:00,648_85,648_85
2000-01-06 12:00:00,650_99,650_99
2000-01-06 13:00:00,653_15,653_15
2000-01-06 14:00:00,655_34,655_34
2000-01-06 15:00:00,657_53,657_53
2000-01-06 16:00:00,659_73,659_73
2000-01-06 17:00:00,661_93,661_93
2000-01-06 18:00:00,664_12,664_12
2000-01-06 19:00:00,666_32,666_32
2000-01-06 20:00:00,668_52,668_52
2000-01-06 21:00:00,670_73,670_73
2000-01-06 22:00:00,672_94,672_94
2000-01-06 23:00:00,675_16,675_16
2000-01-07 00:00:00,677_38,677_38
2000-01-07 01:00:00,679_67,679_67
2000-01-07 02:00:00,682_34,682_34
2000-01-07 03:00:00,685_39,685_39
2000-01-07 04:00:00,688_72,688_72
2000-01-07 05:00:00,692_22,692_22
2000-01-07 06:00:00,695_83,695_83
2000-01-07 07:00:00,699_53,699_53
2000-01-07 08:00:00,703_31,703_31
2000-01-07 09:00:00,707_13,707_13
2000-01-07 10:00:00,710_97,710_97
2000-01-07 11:00:00,714_84,714_84
2000-01-07 12:00:00,718_71,718_71
2000-01-07 13:00:00,722_58,722_58
2000-01-07 14:00:00,726_46,726_46
2000-01-07 15:00:00,730_35,730_35
2000-01-07 16:00:00,734_22,734_22
2000-01-07 17:00:00,738_13,738_13
2000-01-07 18:00:00,742_15,742_15
2000-01-07 19:00:00,746_22,746_22
2000-01-07 20:00:00,750_29,750_29
2000-01-07 21:00:00,754_38,754_38
2000-01-07 22:00:00,758_48,758_48
2000-01-07 23:00:00,762_6,762_6
2000-01-08 00:00:00,766_73,766_73
2000-01-08 01:00:00,770_91,770_91
2000-01-08 02:00:00,775_3,775_3
2000-01-08 03:00:00,779_87,779_87
2000-01-08 04:00:00,784_58,784_58
2000-01-08 05:00:00,789_4,789_4
2000-01-08 06:00:00,794_29,794_29
2000-01-08 07:00:00,799_24,799_24
2000-01-08 08:00:00,804_24,804_24
2000-01-08 09:00:00,809_29,809_29
2000-01-08 10:00:00,814_27,814_27
2000-01-08 11:00:00,819_16,819_16
2000-01-08 12:00:00,824_01,824_01
2000-01-08 13:00:00,828_82,828_82
2000-01-08 14:00:00,833_6,833_6
2000-01-08 15:00:00,838_38,838_38
2000-01-08 16:00:00,843_18,843_18
2000-01-08 17:00:00,847_99,847_99
2000-01-08 18:00:00,852_81,852_81
2000-01-08 19:00:00,857_62,857_62
2000-01-08 20:00:00,862_42,862_42
2000-01-08 21:00:00,867_19,867_19
2000-01-08 22:00:00,871_96,871_96
2000-01-08 23:00:00,876_72,876_72
2000-01-09 00:00:00,881_49,881_49
2000-01-09 01:00:00,886_29,886_29
2000-01-09 02:00:00,891_24,891_24
2000-01-09 03:00:00,896_41,896_41
2000-01-09 04:00:00,901_75,901_75
2000-01-09 05:00:00,907_2,907_2
2000-01-09 06:00:00,912_69,912_69
2000-01-09 07:00:00,918_16,918_16
2000-01-09 08:00:00,923_46,923_46
2000-01-09 09:00:00,928_49,928_49
2000-01-09 10:00:00,932_94,932_94
2000-01-09 11:00:00,937_61,937_61
2000-01-09 12:00:00,942_59,942_59
2000-01-09 13:00:00,947_88,947_88
2000-01-09 14:00:00,953_05,953_05
2000-01-09 15:00:00,958_31,958_31
2000-01-09 16:00:00,963_63,963_63
2000-01-09 17:00:00,969_08,969_08
2000-01-09 18:00:00,974_6,974_6
2000-01-09 19:00:00,980_24,980_24
2000-01-09 20:00:00,985_98,985_98
2000-01-09 21:00:00,991_87,991_87
2000-01-09 22:00:00,997_95,997_95
2000-01-09 23:00:00,1004_2,1004_2
2000-01-10 00:00:00,1010_6,1010_6
2000-01-10 01:00:00,1016_8,1016_8
2000-01-10 02:00:00,1023_5,1023_5
2000-01-10 03:00:00,1030_9,1030_9
2000-01-10 04:00:00,1039_4,1039_4
2000-01-10 05:00:00,1049_5,1049_5
2000-01-10 06:00:00,1060_8,1060_8
2000-01-10 07:00:00,1074_1,1074_1
2000-01-10 08:00:00,1088_7,1088_7
2000-01-10 09:00:00,1104_1,1104_1
2000-01-10 10:00:00,1120_4,1120_4
2000-01-10 11:00:00,1136_9,1136_9
2000-01-10 12:00:00,1153_4,1153_4
2000-01-10 13:00:00,1169_4,1169_4
2000-01-10 14:00:00,1185_1,1185_1
2000-01-10 15:00:00,1200_3,1200_3
2000-01-10 16:00:00,1214_8,1214_8
2000-01-10 17:00:00,1228_7,1228_7
2000-01-10 18:00:00,1241_8,1241_8
2000-01-10 19:00:00,1254_5,1254_5
2000-01-10 20:00:00,1266_7,1266_7
2000-01-10 21:00:00,1278_6,1278_6
2000-01-10 22:00:00,1289_7,1289_7
2000-01-10 23:00:00,1301_3,1301_3
2000-01-11 00:00:00,1312_7,1312_7
2000-01-11 01:00:00,1323_4,1323_4
2000-01-11 02:00:00,1333_5,1333_5
2000-01-11 03:00:00,1343,1343
2000-01-11 04:00:00,1351_7,1351_7
2000-01-11 05:00:00,1359_6,1359_6
2000-01-11 06:00:00,1367_5,1367_5
2000-01-11 07:00:00,1374_5,1374_5
2000-01-11 08:00:00,1381_5,1381_5
2000-01-11 09:00:00,1388_7,1388_7
2000-01-11 10:00:00,1395_6,1395_6
2000-01-11 11:00:00,1403_7,1403_7
2000-01-11 12:00:00,1412_1,1412_1
2000-01-11 13:00:00,1421_1,1421_1
2000-01-11 14:00:00,1430_4,1430_4
2000-01-11 15:00:00,1440_1,1440_1
2000-01-11 16:00:00,1450_2,1450_2
2000-01-11 17:00:00,1460_6,1460_6
2000-01-11 18:00:00,1471_5,1471_5
2000-01-11 19:00:00,1483_2,1483_2
2000-01-11 20:00:00,1495_9,1495_9
2000-01-11 21:00:00,1509_5,1509_5
2000-01-11 22:00:00,1522_7,1522_7
2000-01-11 23:00:00,1535_4,1535_4
2000-01-12 00:00:00,1548_3,1548_3
2000-01-12 01:00:00,1561_6,1561_6
2000-01-12 02:00:00,1575_8,1575_8
2000-01-12 03:00:00,1591_3,1591_3
2000-01-12 04:00:00,1608_2,1608_2
2000-01-12 05:00:00,1626_4,1626_4
2000-01-12 06:00:00,1645_8,1645_8
2000-01-12 07:00:00,1666_1,1666_1
2000-01-12 08:00:00,1687_1,1687_1
2000-01-12 09:00:00,1708_8,1708_8
2000-01-12 10:00:00,1730_8,1730_8
2000-01-12 11:00:00,1751_1,1751_1
2000-01-12 12:00:00,1770_5,1770_5
2000-01-12 13:00:00,1790_3,1790_3
2000-01-12 14:00:00,1811_1,1811_1
2000-01-12 15:00:00,1833_2,1833_2
2000-01-12 16:00:00,1856_9,1856_9
2000-01-12 17:00:00,1882_6,1882_6
2000-01-12 18:00:00,1910_9,1910_9
2000-01-12 19:00:00,1944,1944
2000-01-12 20:00:00,1983_1,1983_1
2000-01-12 21:00:00,2024_9,2024_9
2000-01-12 22:00:00,2069_2,2069_2
2000-01-12 23:00:00,2114_8,2114_8
2000-01-13 00:00:00,2161_2,2161_2
2000-01-13 01:00:00,2193_9,2193_9
2000-01-13 02:00:00,2221,2221
2000-01-13 03:00:00,2250_6,2250_6
2000-01-13 04:00:00,2281_3,2281_3
2000-01-13 05:00:00,2316_9,2316_9
2000-01-13 06:00:00,2358_6,2358_6
2000-01-13 07:00:00,2395_4,2395_4
2000-01-13 08:00:00,2426_3,2426_3
2000-01-13 09:00:00,2454_8,2454_8
2000-01-13 10:00:00,2512_9,2512_9
2000-01-13 11:00:00,2579_5,2579_5
2000-01-13 12:00:00,2643_7,2643_7
2000-01-13 13:00:00,2724_1,2724_1
2000-01-13 14:00:00,2803_6,2803_6
2000-01-13 15:00:00,2873_8,2873_8
2000-01-13 16:00:00,2942_7,2942_7
2000-01-13 17:00:00,3010_7,3010_7
2000-01-13 18:00:00,3077_6,3077_6
2000-01-13 19:00:00,3140_1,3140_1
2000-01-13 20:00:00,3184_2,3184_2
2000-01-13 21:00:00,3229_6,3229_6
2000-01-13 22:00:00,3277_7,3277_7
2000-01-13 23:00:00,3327_2,3327_2
2000-01-14 00:00:00,3377_3,3377_3
2000-01-14 01:00:00,3426_9,3426_9
2000-01-14 02:00:00,3472_4,3472_4
2000-01-14 03:00:00,3514_2,3514_2
2000-01-14 04:00:00,3553_2,3553_2
2000-01-14 05:00:00,3590_6,3590_6
2000-01-14 06:00:00,3626,3626
2000-01-14 07:00:00,3659_9,3659_9
2000-01-14 08:00:00,3692_5,3692_5
